phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7421910,http://hblomquist.temp.swtest.ru/swiis/,http://www.phishtank.com/phish_detail.php?phish_id=7421910,2022-01-24T19:05:09+00:00,yes,2022-01-24T19:09:55+00:00,yes,Other
7421908,https://spiritsvwap.finance/connectt/,http://www.phishtank.com/phish_detail.php?phish_id=7421908,2022-01-24T19:02:42+00:00,yes,2022-01-24T19:09:55+00:00,yes,Other
7421906,https://ceskaposta.forumz.info/odvozy/odvozbaliku/Checkout/portal/437aa/postaonline.cz_Online.html,http://www.phishtank.com/phish_detail.php?phish_id=7421906,2022-01-24T18:57:09+00:00,yes,2022-01-24T19:09:55+00:00,yes,Other
7421905,https://currently-att-web.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421905,2022-01-24T18:57:08+00:00,yes,2022-01-24T19:09:55+00:00,yes,Other
7421903,https://makecetsgo.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7421903,2022-01-24T18:56:52+00:00,yes,2022-01-24T19:09:55+00:00,yes,Steam
7421902,https://markecsgoty.ru,http://www.phishtank.com/phish_detail.php?phish_id=7421902,2022-01-24T18:56:51+00:00,yes,2022-01-24T19:09:55+00:00,yes,Steam
7421901,https://ceskaposta.forumz.info/odvozy/odvozbaliku/Checkout/,http://www.phishtank.com/phish_detail.php?phish_id=7421901,2022-01-24T18:56:08+00:00,yes,2022-01-24T19:09:55+00:00,yes,Other
7421898,https://steamcommunitus.com/proffz/32832932031,http://www.phishtank.com/phish_detail.php?phish_id=7421898,2022-01-24T18:52:14+00:00,yes,2022-01-24T19:09:55+00:00,yes,Steam
7421897,https://jsoak--876543998.repl.co/,http://www.phishtank.com/phish_detail.php?phish_id=7421897,2022-01-24T18:46:41+00:00,yes,2022-01-24T18:53:01+00:00,yes,Other
7421894,https://esamina-portale-web.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421894,2022-01-24T18:35:13+00:00,yes,2022-01-24T18:43:01+00:00,yes,Other
7421893,https://jsoak.876543998.repl.co/,http://www.phishtank.com/phish_detail.php?phish_id=7421893,2022-01-24T18:34:52+00:00,yes,2022-01-24T18:43:01+00:00,yes,Other
7421890,https://irs-verify-account.com/home,http://www.phishtank.com/phish_detail.php?phish_id=7421890,2022-01-24T18:25:08+00:00,yes,2022-01-24T18:32:47+00:00,yes,"Internal Revenue Service"
7421875,https://hustay--0293001.repl.co/,http://www.phishtank.com/phish_detail.php?phish_id=7421875,2022-01-24T18:08:31+00:00,yes,2022-01-24T18:09:40+00:00,yes,Other
7421873,https://attofficecorrections.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421873,2022-01-24T18:00:52+00:00,yes,2022-01-24T18:09:40+00:00,yes,Other
7421864,https://waqassupplies.com/admin/api.html,http://www.phishtank.com/phish_detail.php?phish_id=7421864,2022-01-24T17:35:03+00:00,yes,2022-01-24T18:24:54+00:00,yes,"Internal Revenue Service"
7421863,http://nah.uy/RxpD8q,http://www.phishtank.com/phish_detail.php?phish_id=7421863,2022-01-24T17:35:02+00:00,yes,2022-01-24T18:25:15+00:00,yes,"Internal Revenue Service"
7421858,https://online-agrp.activyt2.repl.co/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7421858,2022-01-24T17:26:26+00:00,yes,2022-01-24T17:37:19+00:00,yes,Other
7421857,https://online-agrp.activyt2.repl.co,http://www.phishtank.com/phish_detail.php?phish_id=7421857,2022-01-24T17:26:25+00:00,yes,2022-01-24T17:37:19+00:00,yes,Other
7421839,https://roaaulehv.wixsite.com/lignemyconnexion,http://www.phishtank.com/phish_detail.php?phish_id=7421839,2022-01-24T17:05:10+00:00,yes,2022-01-24T17:13:11+00:00,yes,Other
7421837,https://u25248216.ct.sendgrid.net/ls/click?upn=1rJL202WbVuMLzdmuIPa00Hq8hVvU8gpCS4PTU-2Fh0Qx5IDv45QRSOv842UK3mqZiec7FKtptZ3WuBfPuIEPENlNpzRMocEdNzflu5u44-2BbU-3DxP2e_q-2BdpEcq7WJfuCP40fqxszBCfatw9vw9Vfw2pce-2FDQcjiw0hDG5zGuYb1DvnuVOwlKdK7h3P-2Bbc6tN2H4qSLGbyWSwHOl1pTlCGceY-2FmMT8aJIoP9J69FmUO3SqVId5S5JbrxTcxV48tRsQ9O576QcF-2BzeimyHicMwSjdDMy4PwrIIcvk7jnKcgRZzCstoPLRNgxvBsF07OlypyO8TwWrBHaxJ5i6Hyj2cmJNI8Vv7O007lHf8YvISnVkJU6LYGv1C9h7qtZT2s-2FZ0obftQuN9K-2BG2Pft9TqQlROD2MTVLN7l7oeXzlzcHecRemVnKiK1Sow2YX9si9HGeUiVRt5b9GBosTtm2o1jrW2zi48BH-2BfP-2BRHESmfYlDBTUboCAT4EWDwVTNiNyAwuPTq4nnInsPQCsqQ93EIDaDyk7pF2LNpx6g-2BPJJ8X42vm87v6pTIb0MZm-2FKFb4Irchb1XgsqPogOTAulXowD7bOwuG4fzqdHZxaxUhI6JIjBLVKA9zPwGrjc0gzDQlR3cflnaJdlcjkk7tfpoEo5fsfVo2U8dHhQ-3D,http://www.phishtank.com/phish_detail.php?phish_id=7421837,2022-01-24T17:04:53+00:00,yes,2022-01-24T17:13:11+00:00,yes,Other
7421835,https://kopoco2200.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=7421835,2022-01-24T17:04:43+00:00,yes,2022-01-24T17:13:11+00:00,yes,Other
7421832,https://brigecaro.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=7421832,2022-01-24T17:00:46+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421831,https://bom.so/IANOxC,http://www.phishtank.com/phish_detail.php?phish_id=7421831,2022-01-24T17:00:30+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421830,https://sms-orange-mail.grwebsite.eu/,http://www.phishtank.com/phish_detail.php?phish_id=7421830,2022-01-24T17:00:22+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421825,https://cetinot259.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=7421825,2022-01-24T16:58:52+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421820,https://attyy00oyaarrxxvbx.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421820,2022-01-24T16:49:09+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421819,https://reticular-boilers.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421819,2022-01-24T16:48:41+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421817,https://linkr.bio/3rn2k2,http://www.phishtank.com/phish_detail.php?phish_id=7421817,2022-01-24T16:46:56+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421814,https://info-customerhelpcentre.cf/,http://www.phishtank.com/phish_detail.php?phish_id=7421814,2022-01-24T16:45:24+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
7421808,http://2324234324324234.byethost16.com/,http://www.phishtank.com/phish_detail.php?phish_id=7421808,2022-01-24T16:43:52+00:00,yes,2022-01-24T17:02:48+00:00,yes,Other
